city,model,surf,loc,rmse,r2,mae
1,global,N,N,1.8620942638986488,0.956263437967254,1.4164016133178237
1,global,N,Y,1.1474006278547078,0.9833888840493107,0.8808592970249224
1,global,Y,N,1.5134532148155366,0.9711069533892656,1.1653496059820097
1,global,Y,Y,1.2887962012233272,0.9790474737224838,0.9841938859855929
1,neighbor,N,N,1.1848214289005834,0.9822887293439849,0.9208881384630092
1,neighbor_subsamples,N,N,1.29531934953505,0.9788327256172719,1.0048399452240235
2,global,N,N,1.898275433879946,0.965966595828316,1.4762226035191923
2,global,N,Y,1.3116477000356046,0.9837534176595826,0.9984120402712383
2,global,Y,N,1.331538950838127,0.9832563332634267,1.0005146424501041
2,global,Y,Y,1.3398938999955414,0.9830459813372431,1.0260995134345887
2,neighbor,N,N,1.6660190332567881,0.9737837812536241,1.315578421724276
2,neighbor_subsamples,N,N,1.7716593780825216,0.9703588489228678,1.3901215637883833
3,global,N,N,1.44936312634873,0.9867454138840188,1.1125147569628069
3,global,N,Y,1.246692636832696,0.9901960530775936,1.0145119729558398
3,global,Y,N,2.1117095110305235,0.9718621372847139,1.8567420961013807
3,global,Y,Y,1.8363211266717392,0.9787213833214691,1.6228751857626995
3,neighbor,N,N,1.3697648702129241,0.9881702594185817,1.0944753308450021
3,neighbor_subsamples,N,N,1.4226709873445573,0.987240071868996,1.141939236271766
