features,FLAML_2006,FLAML_2061,lgbm_2006,lgbm_2061,xgboost_2006,xgboost_2061,category
FLNS,31.0,32.0,31.0,32.0,32.0,32.0,cam
FSNS,32.0,31.0,32.0,31.0,31.0,31.0,cam
PRECT,33.0,33.0,33.0,33.0,30.0,30.0,cam
PRSN,28.0,27.0,28.0,27.0,24.0,24.0,cam
QBOT,34.0,34.0,34.0,34.0,28.0,29.0,cam
TREFHT,30.0,30.0,30.0,30.0,29.0,28.0,cam
UBOT,35.0,35.0,35.0,35.0,33.0,33.0,cam
VBOT,36.0,36.0,36.0,36.0,34.0,34.0,cam
CANYON_HWR,25.0,25.0,25.0,25.0,23.0,23.0,morphological
EM_IMPROAD,10.0,9.0,10.0,9.0,6.0,7.0,radiative
EM_PERROAD,1.5,1.5,1.5,1.5,,,radiative
EM_ROOF,24.0,24.0,24.0,24.0,22.0,22.0,radiative
EM_WALL,23.0,23.0,23.0,23.0,21.0,21.0,radiative
HT_ROOF,16.0,16.0,16.0,16.0,16.0,16.0,morphological
THICK_ROOF,22.0,22.0,22.0,22.0,19.0,18.0,morphological
THICK_WALL,21.0,21.0,21.0,21.0,20.0,20.0,morphological
T_BUILDING_MAX,11.0,11.0,11.0,11.0,9.0,9.0,thermal
T_BUILDING_MIN,9.0,10.0,9.0,10.0,8.0,8.0,thermal
WTLUNIT_ROOF,19.0,19.0,19.0,19.0,18.0,19.0,morphological
WTROAD_PERV,18.0,18.0,18.0,18.0,15.0,14.0,morphological
NLEV_IMPROAD,3.0,3.0,3.0,3.0,1.0,1.0,thermal
PCT_URBAN,29.0,29.0,29.0,29.0,27.0,27.0,morphological
ALB_IMPROAD,4.0,4.0,4.0,4.0,2.0,2.0,radiative
ALB_PERROAD,1.5,1.5,1.5,1.5,,,radiative
ALB_ROOF,14.0,14.0,14.0,14.0,12.0,12.0,radiative
ALB_WALL,20.0,20.0,20.0,20.0,17.0,17.0,radiative
TK_ROOF,12.0,12.0,12.0,12.0,10.0,10.0,thermal
TK_WALL,17.0,17.0,17.0,17.0,13.0,13.0,thermal
CV_ROOF,13.0,13.0,13.0,13.0,11.0,11.0,thermal
CV_WALL,15.0,15.0,15.0,15.0,14.0,15.0,thermal
TK_IMPROAD_0,8.0,8.0,8.0,8.0,7.0,6.0,thermal
CV_IMPROAD_0,7.0,7.0,7.0,7.0,4.0,3.0,thermal
TK_IMPROAD_1,5.0,5.0,5.0,5.0,5.0,5.0,thermal
CV_IMPROAD_1,6.0,6.0,6.0,6.0,3.0,4.0,thermal
lat,26.0,26.0,26.0,26.0,25.0,25.0,loc
lon,27.0,28.0,27.0,28.0,26.0,26.0,loc
