features,FLAML_2006,xgboost_2006,FLAML_2061,xgboost_2061,category
FLNS,34.0,34.0,34.0,34.0,cam
FSNS,33.0,33.0,33.0,33.0,cam
PRECT,30.0,29.0,30.0,30.0,cam
PRSN,29.0,30.0,29.0,29.0,cam
QBOT,35.0,35.0,35.0,35.0,cam
TREFHT,36.0,36.0,36.0,36.0,cam
UBOT,26.0,26.0,26.0,26.0,cam
VBOT,27.0,27.0,27.0,27.0,cam
CANYON_HWR,23.0,24.0,23.0,24.0,morphological
EM_IMPROAD,6.0,6.0,6.0,8.0,radiative
EM_PERROAD,1.5,1.5,1.5,1.5,radiative
EM_ROOF,13.0,18.0,13.0,18.0,radiative
EM_WALL,18.0,20.0,20.0,22.0,radiative
HT_ROOF,11.0,11.0,10.0,12.0,morphological
THICK_ROOF,22.0,23.0,18.0,21.0,morphological
THICK_WALL,16.0,22.0,16.0,23.0,morphological
T_BUILDING_MAX,10.0,10.0,11.0,13.0,thermal
T_BUILDING_MIN,25.0,21.0,24.0,17.0,thermal
WTLUNIT_ROOF,14.0,14.0,14.0,15.0,morphological
WTROAD_PERV,21.0,16.0,22.0,11.0,morphological
NLEV_IMPROAD,3.0,3.0,3.0,3.0,thermal
PCT_URBAN,28.0,28.0,28.0,28.0,morphological
ALB_IMPROAD,4.0,4.0,4.0,4.0,radiative
ALB_PERROAD,1.5,1.5,1.5,1.5,radiative
ALB_ROOF,20.0,12.0,21.0,10.0,radiative
ALB_WALL,24.0,25.0,25.0,25.0,radiative
TK_ROOF,19.0,15.0,19.0,19.0,thermal
TK_WALL,12.0,13.0,12.0,16.0,thermal
CV_ROOF,17.0,17.0,17.0,20.0,thermal
CV_WALL,15.0,19.0,15.0,14.0,thermal
TK_IMPROAD_0,9.0,9.0,9.0,9.0,thermal
CV_IMPROAD_0,7.0,7.0,8.0,5.0,thermal
TK_IMPROAD_1,8.0,8.0,7.0,7.0,thermal
CV_IMPROAD_1,5.0,5.0,5.0,6.0,thermal
lat,32.0,32.0,32.0,31.0,loc
lon,31.0,31.0,31.0,32.0,loc
